link,page owner,commenter,comment,description,label
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,ehsan.sh9280,"???? ??? ?????? ????? ??? ???? ?? ???? ???????? ???? ???? ???? ?????? ??? ?? ????? ???? ???? ????? ??? ??? ??? ???? ? ??????? ??????????? ?????",,nn
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,6636baran,????? ?? ??????,,pp
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,m.paeiz62926,???? ??????? ??? ???? ??? ?????.,,nn
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,hajiesma,??? ???? ??? ??? ?? ???? ??,,pp
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,a.mansouri41,??? ??? ??? ??? ?? ?? ??? ???,,p
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,aaraminghasemizadeh,??? ??? ???? ??? ???...... ???? ????? ????? ?? ??? ?????? ??????? ???? ????,,n
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,aaraminghasemizadeh,????? ??? ?????? ?????? ?????? ?? ??? ??? ????? ????? ??? ??????????? ????????,,n
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,amir_eskandarmohseni,?? ????? ??? ??? ???,,p
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,hp9776,????? ??? ?? ???? ? ??????? ??? ?????? ?? ??? ?????...,,p
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,dhdhdhszjxdkk,??????,,pp
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,salar.eshg_8547,??????? ??????...??? ???? ??????? ..????,,n
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,mrtaherrr,"???? ???? ?? ??? ????? ????? ??? ?? ???? ??? ???? ??? ????? ? ?? ????? ???? ???? ? ????? ??? ????? ? ???? ???? ???? ????",,nn
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,zarepourj,???? ???,,pp
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,alireza_as2020,@mrtaherrr ??? ???? ???? ???? ???????,,n
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,mrtaherrr,@alireza_as2020 ???? ??,,p
https://www.instagram.com/p/BeL8ULnDyk8/,yek_livan_tafakor,asiyaban1837,?? ???????????? ?? ???????? ?????????????????????????? ?????? ???? ?????????,,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,abbas.ahmadi12194,"?? ???? ?????? ???? ?????!??? ????? ?? ???? ??? ?? ???????? ?????? ????? ???? ????? ??? ??? ????...
??? ??? ??? ???????!!?!????? ?????!!!?????? ???? ?????? ?? ????? ? ????? ???? ??????? ? ??????? ??? ? ?? ???? ?? ???? ?? ???? ???? ????!!!!!",,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,dr_zareian4830,???? ???? ????? ????,,p
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,hosseinsalary20,???? ? ??? ? ????? ?? ???? ???? ????? ??????,,pp
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,mahmood_fasahat,?? ???????? ??? ??????? ??? ???? ????? ??? ?? ?????? ???????? ?? ?? ???? ?? ???? ???? ?????,,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,ale_khoramnia,??? ????? ?????,,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,reza_shahe_dovom1398,???? ?? ???? ????,,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,sadeghzarei2390,??????????,,p
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,smbbb98,??? ???? ??? ?? ????? ?? ??? ? ?? ?? ??? ????? ??????,,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,m.4mb.61,"??? ??? ?? ??? ??? ????? ?? ?????? ?? ?? ???....??? ??????....?",,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,fatemekhooob,??? ?? ?? ????? ????? ..? ?? ?????...?? ?? ??? ????????...?????? ?? ??? ?????..???? ?????? ?? ?????? ???? ? ????? ??? ????...,,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,gol.yas39312018,"?????????? ???? ?? ??? ???? ????? ?????? ??? ????????? ????? ??? ??? ??? ?? ??? ???? ???????? ???? ?????? ?? ???????? ?? ?????? ?????? ???? ???? ????? ??????? ?????? ?????? ??? ???? ??????? ?????? ?????? ??? ??? ???? ? ?? ???? ??? ??? ???? ???? ????? ?????? ??????? ??????? ???? ????? ?? ??? ????? ???? ????? ??? ???? ????? ? ???? ????????? ???? ???? ???? ???? ?????? ?????????? ?????? ????? ?? ?????? ???? ??????? ???????? ????????? ??? ???? ????? ?????? ????? ????????? ??????? ????? ????? ??? ????? ?????? ??????? ???? ????? ????? ???? ??? ???? ?????? ????? ????? ????? ????? ????? ?? ??????? ??????? ????? ????? ????????? ??????? ????? ?????????? ?? ??????? ???? ???????",,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,fdyy9686,???? ???? ???????????,,pp
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,mahan_tourist,???? ?? ?????? ???? ???????????,,n
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,abbas.ahmadi12194,"@_d.e.f.a_ ?????? ???? ?????????? ???? ????? ??? ?? ??? ?? ?? ???? ??? ???? ?? ????? ?????? ??? ??????...
??? ?????? ?? ??? ??? ????? ??????? ???? ????????? ??? ???? ???? ?? ? ????? ?????? ????? ?????????????? ???? ??? ?? ???????? ??? ????? ? ??? ? ????????? ?????????? ?? ?? ??? ??? ?????!
????? ????? ?????? ??????? ? ???? ? ???? ?? ?????????!
??????? ????? ?? ??? ??? ??? ???? ???? ? ???? ????? ??????? ?????? ????? ???? ?? ????? ??? ???? ?????? ??????? ?????!
????? ?? ?? ???? ? ???? ?????!??? ???? ?? ??????? ?? ??????? ?? ?? ??? ? ?? ????????? ? ??? ????? ?????? ?? ??????? ?? ???? ????? ???? ??????? ???? ??????? ????? ?? ????? ???? ??? ?? ????? ???? ???? ??? ?? ????!!!????? ????? ?? ??????? ?????????? ?? ???? ????? ??????? ??????...
??? ?? ????? ?? ??? ????? ?? ??????? ? ????? ???????? ???? ???????? ???? ?? ?????? ?? ??? ????? ?????? ? ????? ?????? ? ???? ????????? ???? ???? ????? ? ???? ?????? ????? ??? ????!",,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,fati_17_1380,@fdyy9686 ??????? ?? ??? ? ????? ?????,,p
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,aziz_norozi_2050,???? ?? ???? ???? ???? ???? ? ???????????? ????????????????,,pp
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,mehdi._.safari,@hosseinsalari06 ???? ????? ?? ??? ???? ?????? ????? ???...????? ?????? ???? ?? ??? ????? ?? ????? ?????? ???? ??? ???? ???? ?????? ?? ??????? ???? ????? ?? ??? ????? ????? ??? ?????? ?????? ?? ???,,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,hosseinsalary20,"@mehdi._.safari ?? ??????? ??? ?? ????? ??? ????????? ?? ??????? ????? ??????? ??? ???? ???? ? ??? ?????? ?? ????? ???????? ??? ???? ?? ???? ? ?? ???? ???? ?? ????? ??? ?? ???????????? ?? ??? ?????? ??? ?????? ? ???? ??? ??? ?????? ?? ?? ???? ??? ?? ??? ???? ???? ??????????? ???? ????? ??? ?? ??? ???? ???? ?? ??? ???? ?????????? ?? ???? ???? ???? ???????? ??? ???????",,nn
https://www.instagram.com/p/BvSQ_INHKSJ/,_d.e.f.a_,help_for_uno_to_iran,??????,,p
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,rezaaa646,@salartab ??? ???? .?? ???? ???? .???? ?? ?????? ????? ???? ????? ? ????? ???? ? ?? ?????? ????? ???? ???? .???? ???? ??? ??? ???? ???? ??? ?????? .?? ?? ??? ?? ?????? ?? ??? ???? ???? .????? ???? ?? ?????? ?? ????? ?? ??? ???????? ??? ??? ??????? ?? ?? ????? .??? ?? ??? ???? ???? ??????? ? ???? ???????? .,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,salartab,"@rezaaa646 ??? ???? ???? ???? ???? ????????? ??? ?? ?? ?? ???? ???? ????? ? ????? ?? ?????? ??? ????? ????? ?? ????? ?? ????? ??? ??? ??? ???? ????? ?? ??? ? ?????? ?? ??????...?? ???? ????? ????? ???? ???? ??????? ?????? ?? ???? ??? ???? ???? ?? ?? ????? ?? ?? ??? ??? ???? ???? ???? ?? ??? ??? ??? ????...??",,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,salartab,@rezaaa646 ?? ??? ??????? ???? ??????? ?? ?? ???? ?? ????? ? ???? ????????????????,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,salartab,"@rezaaa646 ?????? ?? ????????? ????? ?? ??? ????????? ??? ?? ??? ?????? ??? ???? ?????? ?????? ?????? ???? ????????????????",,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,rezaaa646,@salartab ???????? ???? ???? ???? ???? ???? ?? ??? ???? ????? ?? . ?? ?? ??? ???? ??? ????? .??????? ???? ?????? ?????? ?? ?? ?? ?? ?? ???? ???? ???? .???? ?? ??? ?? -?? ????? ???? .????? ? ????? ???? ????? ??????? ????? ??? ??? ???? ?!,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,rezaaa646,@salartab ???? ??? ??????? ???? ???? ?? ???? ? ??? ?????? ??? ??? ???? ????? ?????? ????? ?? ???? .,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,rezaaa646,@salartab ???? ??? ?? ???? ???? ?????? . ???? ?? ??? ???? ???? ????.???? ???? ?? ????? ?????? ???? ???? ?? ?? ?????,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,salartab,"@rezaaa646 ??? ???? ?????? ?? ???? ????? ???? ?? ???? ???? ?????????? ????????? ?? ???? ??????? ??? ??????? ????? ?? ?? ?? ??? ? ????? ??? ??????? ?????? ??? ???? ???? ?? ?? ?????? ????????? ?? ???? ????????? ??? ?? ???? ???? ??????????? ?? ???? ?????? ? ?? ?????? ??? ???? ????? ????? ????? ??? ???? ??? ????? ??? ????? ??????",,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,salartab,@rezaaa646 ?? ??? ?? ???? ???? ?? ? ? ?? ??????? ?? ????? ??? ?? ???? ??? ????? ??? ?? ???? ??...?? ????? ???? ??? ??? ????? ????????,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,rezaaa646,@salartab ??? ?? ?? ????? ???? ?? ???? ???????? ???? ?????? ???? ?????? ?? ????? ??? ?? ??????? ??? ?? ????? ??? ????? ?? ?????? ?? ??? ??? ??? ???? ????? ??????? ?? ??? ???? . ?? ????? ?????? ?? ???????? ?????? .,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,rezaaa646,@salartab ?? ??? ??? ?????? ??? ???? ????? ??? ??? ???? ?????? ??? ??? . ???? ???? ???? ???? ?? ?? ??? ????? ????? ??? .??? ??? ?? ????? ????? .????? ???? ???? .??? ?? ???? ???????,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,iman_hashemi_000,????? ???? ????,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,alirezayp7677,Bk,,n
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,alireza_as2020,@behzad_yyyy ?????? ???? ????? ??? ???????? ???? ???? ?? ?????,,n
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,alirahnama45,???? ???????? ????????????? ???????????? ????? ?? ?? ????? ??? ???? ??? ? ????? ?????? ???????? ?????? ???? ????????? ????? ????? ???? ?? ?? ???? ??? ???? ? ???????? ???? ????? ???? ????? ??? ?????????? ??? ? ????? ??? ?? ?????? ??? ????? ??? ?? ????? ??????? ???????? ??? ????????? ???? ??????? ???? ?????? ???? ????? ?? ???? ...?????,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,salartab,@rezaaa646?? ??? ???? ???? ?????? ???? ????? ??? ????? ??? ? ?? ???? ?? ?????? ??? ?????????????????? ???? ?? ?? ?? ????? ? ???? ???? ?????? ?? ???? ?? ??? ????????????????,,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,salartab,"@rezaaa646????? ?? ??? ?? ?????? ????? ???. ?? ??? ?? ??? ????? ?????????? ?? ?????? ? ??? ???? ?? ??? ?? ??? ????? ???? ?? ????????? ????? ?? ?????? ?? ???? ??? ???? ???????? ???? ???? ???? ? ?? ???? ?? ???? ?? ?? ??? ????? ???????",,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,rezaaa646,"?? ???? ????? ?????? ????? .???? ???? ????? .???? ?? ?? ?? ???? ???? ??? ????? .??? ?????? ???? ???? .??? ???? ????? ??? ??? .?????? ?? ?? ??? ?? ????? ??? ??? .",,nn
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,atash_be_ekhtiar1,??????????,,n
https://www.instagram.com/p/BeLoQ9hDdY5/,yek_livan_tafakor,lyrdnwry5917,???? ???? ??? ???,,pp
https://www.instagram.com/p/BeTc9HcD07C/,yek_livan_tafakor,mohadese_.69,?? ??? ????,,n
https://www.instagram.com/p/BeTc9HcD07C/,yek_livan_tafakor,mohammadsadrabavar,Khkhkhkh,,p
https://www.instagram.com/p/BeTc9HcD07C/,yek_livan_tafakor,a.ebrahimi5949,????? ???? ????? ?????? ???? ?? ???? ? ?? ???? ????? ????? ????? ?? ?? ??? ??? ???? ???????? ?? ????? ????? ????? ??? ???? ????? ?? ??? ??????? ??? ??? ???? ???? ?? ??? ???? ??? ?? ?? ????? ????? ????? ???,,nn
https://www.instagram.com/p/BeTc9HcD07C/,yek_livan_tafakor,lady_m0na,??? ????? ???? ?? ??? ???? ???????,,nn
https://www.instagram.com/p/BeTc9HcD07C/,yek_livan_tafakor,haghiighat,"???? ???? ??? ?????? ????? ???? ??? ? ????? ?? ?? ?????? ??? ????",,n
https://www.instagram.com/p/BeTc9HcD07C/,yek_livan_tafakor,hese_moobham25,??? ???? ??????????,,m
https://www.instagram.com/p/BeTc9HcD07C/,yek_livan_tafakor,mhmdzr3496,??? ???? ??? ?????? ???? ????? ?? ???????? ???? ???????.??? ?? ??? ??? ?????? ???????,,n
https://www.instagram.com/p/BeTc9HcD07C/,yek_livan_tafakor,zohreh2124,??? ???? ??? ??? .....?????? ????,,n
https://www.instagram.com/p/BeTc9HcD07C/,yek_livan_tafakor,fateme_zahra_1364,????? ??? ??? ??? ??,,n
